Architecture,41872,Architecture and Human Behavior,Spring,3
Architecture,41677,Building System,Spring,3
Architecture,41644,Architectural Design Ⅳ,Fall,3
Architecture,41623,Design and Structure,Fall,3
Architecture,41648,Architectural Design VII,Fall,4
Business Administration,27002,Accounting Principles,Fall/Spring,3
Business Administration,27102,Consumer Behavior,Fall,3
Business Administration,27301,Financial Management,Fall/Spring,3
Business Administration,27302,Investment Theory,Fall/Spring,3
Business Administration,27303,Derivative Securities,Fall/Spring,3
Business Administration,27906,Global Business,Fall/Spring,3
Business Administration,27907,Global Financial,Fall/Spring,3
Business Administration,27407,Human Resource Management,Fall/Spring,3
Business Administration,27105,Marketing Management,Fall/Spring,3
Chinese Language and Culture,65046,Chinese Conversation in Advanced Level1,Spring,3
Chinese Language and Culture,65048,Chinese Conversation in Advanced Level 2,Fall,3
Chinese Language and Culture,65029,Current Issues on Contemporary China,Fall,3
Chinese Language and Culture,65072,Chinese Writing in Advanced Level,Spring,3
Chinese Language and Culture,65064,Chinese Conversation in Intermediate Level Ⅱ,Fall,3
Computer Science and Engineering,71002,C Programming Language,Fall,3
Economics,28004,Macroconomics,Spring,3
Economics,28026,Development Economics,Spring,4
Economics,28133,Financial Economics,Spring,3
Economics,28144,Advanced Microeconomics,Fall,3
Electrical and Computer Engineering,40055,Introduction to Operating Systems,Spring,3
Electrical and Computer Engineering,40071,Computer Architecture,Spring,3
Electrical and Computer Engineering,30009,Engineering Mathematics Ⅰ,Fall/Spring,3
Electrical and Computer Engineering,35089,Communications Engineering,Spring,3
Electrical and Computer Engineering,40063,Signals and Systems,Spring,3
Electrical and Computer Engineering,40067,Digital Control,Spring,3
Electrical and Computer Engineering,40108,Mobile Communications,Spring,3
Electrical and Computer Engineering,40087,Artificial intelligence,Fall,3
Electrical and Computer Engineering,35092,Digital communication,Fall,3
Electrical and Computer Engineering,40070,Digital signal processing,Fall,3
Electrical and Computer Engineering,40059,Electromagnetic Field 1,Fall,3
Electrical and Computer Engineering,30010,engineering mathematicsⅡ,Fall,3
Electrical and Computer Engineering,40143,Integrative biomedical engineering,Fall,3
Electrical and Computer Engineering,40105,Formal Languages and Compilers,Fall,3
Electrical and Computer Engineering,30033,Computer Networks,Fall,3
English Language and Literature,51226,Introduction to Drama,Spring,3
English Language and Literature,51229,English Language and Culture of English-speaking Countries,Spring,3
English Language and Literature,51078,Applied English Pronunciation by Computer,Spring,3
